hash,kind,schema,id,name,description,attachments,triggers,events,workitem_order,sap_operation
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",733,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",610,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",611,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",612,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",613,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",614,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",615,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",599,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",600,\N
\x7e4c576345aded46e93d91479112397992c36c394db467424a9456a40cfe18ad,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",601,\N
